id,short_text,medium_text,uri,menu,parent
1,Orion's sword kindling, The energy hidden in matter tesseract rich in heavy atoms,/dumdum/example,main,
2,Corpus callosum,angelis Orion’s sword white dwarf cosmic ocean billions upon billions,/dumdum/example,main,
3,Cosmic ocean rings of Uranus,"Extraplanetary, Drake Equation hydrogen atoms culture? How far away. ",/dumdum/example,main,
4,Ut enim ad minima veniam,"Hypatia hundreds of thousands emerged into consciousness stirred by starlight the sky calls to us, with pretty stories for which there’s little good evidence",/dumdum/example,footer,
5,How far away,"Tunguska event, laws of physics bits of moving fluff hearts of the stars. ",/dumdum/example,footer,
6,Quis autem vel eum iure,Realm of the galaxies stirred by starlight Cambrian explosion how far away decipherment Sea of Tranquility worldlets. ,/dumdum/example,footer,
7,Reprehenderit qui in ea voluPLate,Dream of the mind’s eye Vangelis and billions upon billions upon billions upon billions upon billions upon billions upon billions?,/dumdum/example,footer,5
8,Velit esse quam nihil molestiae consequatur,"Hypatia hundreds of thousands emerged into consciousness stirred by starlight the sky calls to us, with pretty stories for which there’s little good evidence",/dumdum/example,footer,5
9,Are creatures of the cosmos Orion's sword,"Tunguska event, laws of physics bits of moving fluff hearts of the stars. ",/dumdum/example,footer,5
10,Cambrian explosion,Realm of the galaxies stirred by starlight Cambrian explosion how far away decipherment Sea of Tranquility worldlets. ,/dumdum/example,footer,5
11,Cambrian explosion,Dream of the mind’s eye Vangelis and billions upon billions upon billions upon billions upon billions upon billions upon billions?,/dumdum/example,footer,5
12,Explorations,"Hypatia hundreds of thousands emerged into consciousness stirred by starlight the sky calls to us, with pretty stories for which there’s little good evidence",/dumdum/example,tools,5
13,Star stuff ,"Tunguska event, laws of physics bits of moving fluff hearts of the stars. ",/dumdum/example,main,1
14,Harvesting star light,Realm of the galaxies stirred by starlight Cambrian explosion how far away decipherment Sea of Tranquility worldlets. ,/dumdum/example,main,1
15,Ship of the imagination,Vangelis Orion’s sword white dwarf cosmic ocean billions upon billions,/dumdum/example,main,1
16,Birth,"Extraplanetary, Drake Equation hydrogen atoms culture? How far away. ",/dumdum/example,footer,5
17,Dispassionate ,"Hypatia hundreds of thousands emerged into consciousness stirred by starlight the sky calls to us, with pretty stories for which there’s little good evidence",/dumdum/example,main,1
18,Extraterrestrial ,"Tunguska event, laws of physics bits of moving fluff hearts of the stars. ",/dumdum/example,footer,5
19,Observer,Realm of the galaxies stirred by starlight Cambrian explosion how far away decipherment Sea of Tranquility worldlets. ,/dumdum/example,footer,5
20,Trillion,Dream of the mind’s eye Vangelis and billions upon billions upon billions upon billions upon billions upon billions upon billions?,/dumdum/example,footer,5
21,Rings of uranus,Dream of the mind’s eye Vangelis and billions upon billions upon billions upon billions upon billions upon billions upon billions?,/dumdum/example,footer,5
22,Apollonius of perga,Bits of moving fluff,/dumdum/example,footer,5
23,Rich in mystery,Corpus callosum,/dumdum/example,footer,5
24,Paroxysm of global death,Cosmic ocean rings of Uranus,/dumdum/example,footer,5
25,Take root and flourish,Ut enim ad minima veniam,/dumdum/example,footer,5
26,A very small stage,How far away,/dumdum/example,footer,5
27,Vast cosmic arena,Quis autem vel eum iure,/dumdum/example,footer,5
28,Heavy atoms,Reprehenderit qui in ea voluptate,/dumdum/example,footer,5
29,Starlight,Velit esse quam nihil molestiae consequatur,/dumdum/example,footer,5
30,Encyclopaedia galactica,Are creatures of the cosmos Orion's sword,/dumdum/example,footer,5
31,Tingling of the spine,Cambrian explosion,/dumdum/example,footer,5
32,Jean-franãƒâ§ois champollion,Totam rem aperiam,/dumdum/example,footer,5
,Star stuff,Eaque ipsa quae,/dumdum/example,main,1
