id,title,short_string,medium_string,long_string,number,timestamp,paragraphs,uid
1,Totam rem aperiam,ho loaded,Explorations star stuff harvesting star light ship of the imagination ,Vangelis Orion’s sword white dwarf cosmic ocean billions upon billions,123,1566160992,PI06 PT03 PV01 PL01,1
2,Eaque ipsa quae,mast blow the man down,"Birth dispassionate extraterrestrial observer trillion, rings of Uranus Apollonius of Perga","Extraplanetary, Drake Equation hydrogen atoms culture? How far away. ",456,1508504802, PL02 PT01 PI07 PV04,3
3,Cosmic ocean rings of Uranus,squiffy nipper,"Rich in mystery paroxysm of global death, take root and flourish a very small stage in a vast cosmic arena","Hypatia hundreds of thousands emerged into consciousness stirred by starlight the sky calls to us, with pretty stories for which there’s little good evidence",789,1431774581,PL03 PT02 PI08 PV03,5
4,Ut enim ad minima veniam,quarter marooned measured fer yer chains,"Rich in heavy atoms how far away, rich in heavy atoms, stirred by starlight","Tunguska event, laws of physics bits of moving fluff hearts of the stars. ",1122,1705087113, PL04 PT03 PI09 PV05,7
5,How far away,Privateer,Encyclopaedia galactica tingling of the spine,Realm of the galaxies stirred by starlight Cambrian explosion how far away decipherment Sea of Tranquility worldlets. ,1455,1879449553,PL05 PT04 PI10 PV02,9
6,Quis autem vel eum iure,mizzen draught hearties,Jean-FranÃƒÂ§ois Champollion star stuff harvesting star light,Vangelis Orion’s sword white dwarf cosmic ocean billions upon billions,1788,1874724065,PL06 PT04 PI01 PV01,2
7,Reprehenderit qui in ea voluptate,gangway furl,"How far away, Orion’s sword, vanquish the impossible as a patch of light","Extraplanetary, Drake Equation hydrogen atoms culture? How far away. ",2121,1429191782,PT02 PI02 PV04 PL07,4
8,Velit esse quam nihil molestiae consequatur,reef chase guns,Concept of the number one extraordinary claims require extraordinary evidence as a patch of light,"Hypatia hundreds of thousands emerged into consciousness stirred by starlight the sky calls to us, with pretty stories for which there’s little good evidence",2454,1749588543,PI03 PT03 PV02 PL08,6
9,Are creatures of the cosmos Orion's sword,Sink me case shot,Billions upon billions courage of our questions circumnavigated,"Tunguska event, laws of physics bits of moving fluff hearts of the stars. ",2787,1802176709,PI04 PT01 PV05 PL09,8
10,Cambrian explosion,Nelsons folly gibbet,Jean-FranÃƒÂ§ois Champollion star stuff harvesting star light,Realm of the galaxies stirred by starlight Cambrian explosion how far away decipherment Sea of Tranquility worldlets. ,3120,1303006288,PI05 PT02 PV03 PL10,10
